Mainland Africa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Western Africa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
calibrated radiocarbon,-0.016666667,647/192/-32,2454/1160/294,3867/2152/897,4319/2503/1137,4877/3021/1487,5674/3751/2030,6386/4378/2541,6983/4999/3125,7645/5620/3679,8241/6249/4259,8966/6994/4987,9536/7618/5634,9997/8113/6131,10684/8851/6790,11267/9590/7664,11655/10080/8196,12263/10818/9012,12668/11430/9797,12914/11789/10199,13111/12152/10744,14371/13385/12118,15477/13983/12528,16059/14383/12814,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bois de Bilanko LS3,241,182,536,290,555,1113,568,996,612,473,1138,546,427,1754,1346,1106,1158,303,326,800,2132,279,424,280,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
calibrated radiocarbon,1387/1034/663,1797/1473/1164,1871/1551/1233,2288/2008/1704,2639/2306/1974,3085/2673/2279,3497/3040/2600,3880/3405/2930,4404/3921/3424,4480/3996/3498,4840/4362/3863,5398/4957/4471,5467/5031/4550,5622/5175/4681,5884/5387/4861,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bois de Bilanko LH1,132,86,116,130,35,166,139,135,133,151,189,167,184,98,212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
calibrated radiocarbon,1534/1109/348,3152/2491/1361,5828/5051/4360,8069/7403/6770,11389/9070/7750,15186/11585/9099,19282/14617/10960,23971/18177/13480,25243/19196/14209,27039/20736/15423,30347/23305/17381,33254/25818/19421,35703/27844/21040,39902/31376/24024,43520/34434/26660,49617/39980/31275,51391/41505/32584,53698/43540/34269,56027/45520/36023,58916/48087/38218,63272/51639/41274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bois de Bilanko LH3,247,247,97,162,89,138,162,151,134,236,152,72,79,22,118,176,243,235,192,190,412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Central Africa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
calibrated radiocarbon,2540/647/-901,3716/1941/27,4727/3310/1429,5432/4597/3262,6980/5912/5168,8103/7141/6034,8722/8354/7741,9245/8846/8387,9444/9008/8565,9633/9175/8741,9717/9259/8850,9834/9344/8922,9955/9470/9053,10175/9596/9120,10332/9739/9233,10577/9879/9303,10716/10026/9438,10956/10174/9522,11066/10316/9657,11261/10458/9741,11345/10571/9864,11540/10742/9973,11653/10885/10149,11828/11028/10265,11912/11145/10424,12086/11320/10579,12205/11463/10792,12347/11606/10928,12458/11763/11262,12618/11924/11455,18877/15397/12668,21957/19012/15379,23645/22575/20928,25590/24274/22967,26872/25577/24176,28116/26963/25796,30239/28363/26722,31828/29723/27723,33238/31116/28976,35975/33893/31893,38104/35318/32843,40025/36707/33881,41924/38134/34886,43798/39539/35900,45644/40949/36986,47389/42354/38101,49096/43762/39277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kashiru Swamp pollen,21,16,26,25,12,10,13,3,2,4,3,3,4,4,3,2,2,,2,3,1,1,1,,2,2,,2,,,,,,,,1,5,,1,,,10,6,7,9,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
calendar year,--/20749.88384/--,--/32372.70083/--,--/33599.16086/--,--/34571.9699/--,--/35982.51538/--,--/36420.78663/--,--/37877.17778/--,--/38764.66313/--,--/41554.66494/--,--/44358.26684/--,--/46019.99539/--,--/46830.57628/--,--/49073.75109/--,--/51487.39907/--,--/56199.56199/--,--/61575.87522/--,--/65726.77529/--,--/66950.82839/--,--/68426.4924/--,--/69740.30939/--,--/71043.24592/--,--/73827.28669/--,--/75132.94333/--,--/77873.46221/--,--/81914.1975/--,--/84745.84034/--,--/86073.25793/--,--/87387.07492/--,--/89385.00159/--,--/90058.2308/--,--/91363.88744/--,--/92700.82543/--,--/94230.89181/--,--/95536.54845/--,--/96812.28379/--,--/98343.71022/--,--/99628.96598/--,--/104314.3692/--,--/105160.3259/--,--/106464.6225/--,--/107775.7194/--,--/109184.7405/--,--/110406.0735/--,--/111834.1354/--,--/113249.9569/--,--/114539.2928/--,--/115843.5894/--,--/117963.9214/--,--/119096.8505/--,--/120320.9036/--,--/121332.7875/--,--/122680.606/--,--/123200.1485/--,--/128129.0023/--,--/130752.5561/--,--/132293.503/--,--/134883.0553/--,--/136411.7616/--,--/137801.7419/--,--/139008.1143/--,--/143207.9765/--,--/143777.8412/--,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lake Malawi MAL05-1,1,1,1,2,4,6,4,4,2,3,3,3,5,3,1,,,1,1,,,1,,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,1,1,3,,1,2,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
calibrated radiocarbon,542/211/-1,614/239/1,1060/416/24,1562/880/227,1693/1088/390,1956/1294/482,2036/1511/745,2216/1728/899,2249/1972/1549,2334/2214/2067,3136/2568/2218,4114/2919/2260,4533/3317/2462,5309/3704/2551,5660/4263/2957,6454/4819/3119,6748/5217/3668,7230/5613/3980,7431/6024/4519,7919/6439/4850,8082/6854/5228,8366/7270/5496,8454/7717/6683,8623/8166/7353,9042/8737/8530,10613/9304/8582,11077/9691/8780,11679/10066/8868,12057/10520/9164,12904/10974/9344,13252/11456/9740,13874/11939/9957,14178/12316/10374,14630/12694/10605,14904/13146/11062,15321/13599/11439,15472/14019/12047,15802/14437/12458,15919/14912/13408,16169/15385/13934,16248/15511/14153,16382/15634/14307,16452/15740/14473,16572/15850/14606,16640/15953/14764,16724/16059/14892,16784/16163/15076,16870/16267/15215,16923/16372/15419,17017/16481/15583,17065/16584/15803,17193/16796/16262,17278/16908/16466,17595/17215/16821,17764/17310/16877,17864/17408/16964,18096/17602/17124,18222/17699/17192,18575/18079/17544,18739/18278/17764,18891/18472/17957,19030/18667/18206,19153/18862/18539,19354/19067/18814,19711/19266/18925,19972/19469/19054,20233/19674/19196,20452/19889/19355,20666/20098/19550,20862/20313/19756,21037/20515/19965,21205/20719/20186,21357/20919/20477,21560/21135/20795,21985/21399/20951,22316/21659/21106,22620/21927/21292,22897/22190/21510,23371/22708/21989,23584/22958/22251,23783/23223/22571,24167/23728/23254,24597/24042/23494,24771/24148/23554,25020/24358/23740,25260/24569/23923,25484/24776/24093,25691/24989/24263,26147/25505/24797,26300/25664/24960,26450/25823/25089,26563/25980/25274,26787/26242/25555,27053/26488/25787,27355/26706/25935,27500/26796/25995
RUMUIKU,5,1,,5,1,4,1,1,,1,2,,,1,,,,13,,1,,4,1,1,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,,,,,,,,,,,5,,,,,,,2,,,,1,,1,,1,1,,,,1,,1,,,,,,,,,,,,
calibrated radiocarbon,340/135/10,643/355/137,907/576/295,1241/872/535,1488/1094/730,2016/1607/1197,2229/1828/1418,2442/2051/1640,2710/2344/1954,2908/2566/2196,3089/2783/2444,3334/3083/2827,3578/3295/3031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bujuku Lake,,1,,,1,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indian Ocean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
calibrated radiocarbon,4209/4108/4014,4216/4116/4023,4223/4124/4032,4231/4132/4042,4238/4140/4052,4247/4148/4061,4255/4157/4071,4263/4165/4080,4272/4174/4089,4280/4183/4097,4289/4192/4106,4296/4200/4115,4306/4209/4125,4315/4217/4135,4324/4225/4143,4332/4233/4153,4339/4242/4161,4346/4251/4168,4354/4259/4176,4362/4267/4184,4372/4276/4191,4381/4284/4200,4390/4293/4209,4399/4301/4217,4408/4310/4225,4417/4318/4233,4426/4326/4241,4434/4334/4248,4442/4343/4255,4449/4350/4262,4457/4358/4268,4468/4367/4276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mare aux Songes,,,,1,,,3,2,,1,,,,1,1,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pacific Ocean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
calibrated radiocarbon,2173/1813/1415,3753/3444/3102,6220/5981/5726,7297/7069/6834,10942/10693/10459,14031/13729/13456,15395/15000/14599,16886/16270/15658,18363/17540/16679,18652/17794/16877,18865/18016/17097,18901/18059/17142,19135/18334/17436,19542/18757/17903,19933/19181/18342,20352/19604/18803,20778/20027/19252,21189/20451/19674,21604/20874/20084,22043/21298/20491,22506/21721/20874,22949/22145/21267,23411/22568/21692,23876/22991/22067,24315/23415/22415,24776/23838/22788,25254/24262/23129,25734/24685/23500,26210/25108/23856,26609/25447/24141,26701/25532/24210,27172/25955/24547,27624/26336/24862,36576/34000/31138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Komanimambuno Mire low,,,,2,3,3,3,2,2,6,8,,,1,,1,2,,1,4,1,1,1,,,,1,,1,1,1,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
calibrated radiocarbon,491/375/283,899/690/525,1205/926/707,1612/1241/949,1959/1509/1155,2224/1714/1313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Komanimambuno Mire up,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Zealand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
calibrated radiocarbon,-0.013913735,-0.016184482,10.8/6.9/3,56.7/42.3/27.9,97.7/78.2/58.7,136.6/114.1/91.6,173.9/150.1/126.3,210.1/186/161.9,245.2/221.9/198.6,278.9/257.8/236.7,310.8/293.7/276.6,339.4/327.2/315,366.9/351.2/335.5,393.4/375.2/357,419.5/399.2/378.9,444.4/423/401.6,465.6/446.3/427,486.4/469.6/452.8,506.5/492.9/479.3,706.7/610.8/514.9,1328.7/1107.1/885.6,1880.4/1603.4/1326.3,2403.7/2099.5/1795.3,3389.3/3092.2/2795,4274/4084.5/3895.1,4782.8/4686.3/4589.8,5180.6/5028/4875.4,5567.5/5369.8/5172.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Waitetoke,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
